#Site	Status	Area	Rep	Snails	Snail Biomass	Juvenile Fiddler Crabs	JFC Biomass	Adult Fiddler Crabs	AFC Biomass	Mussels	Mussel Recruits	Mussel Biomass	Mud Crabs	Mud Crab Biomass	Sesarma	Sesarma Biomass	InvertBiomass	Proportion Sesarma
BF	Grazed	Platform	2	0	0	3	0.06	1	0.11	0	0	0	1	0.45	0	0	0.62	0
BF	Grazed	Platform	3	0	0	0	0	1	0.11	0	0	0	2	0.9	0	0	1.01	0
BF	Grazed	Platform	4	1	0.013	4	0.08	0	0	0	0	0	0	0	1	0.24	0.333	0.721
BF	Grazed	Platform	5	0	0	0	0	1	0.11	0	0	0	1	0.45	1	0.24	0.8	0.3
BF	Grazed	Platform	6	4	0.052	4	0.08	2	0.22	0	0	0	1	0.45	1	0.24	1.042	0.23
BF	Grazed	Platform	7	0	0	0	0	0	0	0	0	0	1	0.45	0	0	0.45	0
BF	Grazed	Platform	8	3	0.039	0	0	0	0	0	0	0	0	0	0	0	0.039	0
BL	Grazed	Platform	1	12	0.156	6	0.12	1	0.11	0	0	0	0	0	0	0	0.386	0
BL	Grazed	Platform	2	3	0.039	7	0.14	2	0.22	0	0	0	0	0	0	0	0.399	0
BL	Grazed	Platform	3	0	0	3	0.06	4	0.44	0	0	0	0	0	0	0	0.5	0
BL	Grazed	Platform	4	2	0.026	2	0.04	3	0.33	0	0	0	1	0.45	1	0.24	1.086	0.221
BL	Grazed	Platform	5	2	0.026	4	0.08	1	0.11	3	0	1.65	1	0.45	0	0	2.316	0
BL	Grazed	Platform	6	2	0.026	5	0.1	2	0.22	0	0	0	0	0	0	0	0.346	0
BL	Grazed	Platform	7	0	0	8	0.16	3	0.33	0	0	0	0	0	0	0	0.49	0
BL	Grazed	Platform	8	6	0.078	7	0.14	3	0.33	0	0	0	0	0	0	0	0.548	0
BR	Grazed	Platform	1	13	0.169	16	0.32	3	0.33	3	0	1.65	2	0.9	0	0	3.369	0
BR	Grazed	Platform	2	20	0.26	2	0.04	2	0.22	0	0	0	0	0	0	0	0.52	0
BR	Grazed	Platform	3	12	0.156	7	0.14	3	0.33	0	0	0	0	0	0	0	0.626	0
BR	Grazed	Platform	4	12	0.156	6	0.12	6	0.66	0	0	0	0	0	0	0	0.936	0
BR	Grazed	Platform	5	12	0.156	5	0.1	4	0.44	0	0	0	0	0	0	0	0.696	0
BR	Grazed	Platform	6	14	0.182	6	0.12	4	0.44	0	0	0	0	0	0	0	0.742	0
BR	Grazed	Platform	7	24	0.312	4	0.08	12	1.32	0	0	0	0	0	0	0	1.712	0
BR	Grazed	Platform	8	13	0.169	6	0.12	3	0.33	0	0	0	0	0	0	0	0.619	0
